case,architecture,context_len,scenario,num_clients,dcn_bandwidth_gbps,request_id,input_len,output_len,arrival_time_ms,ttft_ms,cache_retrieval_latency_ms,end_to_end_latency_ms
A,Dedicated per-client,4096,private,128,,70,414,130,285.82837428001096,34.25672854761547,5.100000000000023,2010.2463762706866
A,Dedicated per-client,4096,private,128,,219,5939,72,814.8793939813555,345.3904454327429,5.100000000000023,1489.2583430702712
A,Dedicated per-client,4096,private,128,,207,474,103,755.5463417177682,37.54616468818665,5.100000000000023,1561.374897548015
A,Dedicated per-client,4096,private,128,,248,401,89,982.4532082179823,43.679242302368834,5.100000000000023,1334.468031047801
A,Dedicated per-client,4096,private,128,,264,387,68,1042.3216649049573,42.93588643061298,5.099999999999909,1325.8541447294929
A,Dedicated per-client,4096,private,128,,233,385,95,898.9999716163627,38.70962785574886,5.100000000000023,1473.323580425598
A,Dedicated per-client,4096,private,128,,260,2436,83,1022.335353910232,145.6198470246195,5.099999999999909,1349.9881981317287
A,Dedicated per-client,4096,private,128,,212,184,103,775.3381625733476,40.9697280800176,5.100000000000023,1599.643128760083
A,Dedicated per-client,4096,private,128,,251,375,91,992.4727792611775,38.29912616789966,5.100000000000023,1384.438093568573
A,Dedicated per-client,4096,private,128,,313,4086,60,1222.711632023774,256.5225157034806,5.099999999999909,1164.2595935210045
A,Dedicated per-client,4096,private,128,,414,4077,34,1697.5788835047856,241.4301701658394,5.099999999999909,712.3472640218183
A,Dedicated per-client,4096,private,128,,352,387,68,1391.3135565701812,41.883022469447724,5.099999999999909,1022.420424132021
A,Dedicated per-client,4096,private,128,,20,203,162,94.531896561294,26.360517207572826,5.099999999999994,2319.2755535893766
A,Dedicated per-client,4096,private,128,,217,2339,93,809.9251338878574,150.9651527853133,5.100000000000023,1635.029526316459
A,Dedicated per-client,4096,private,128,,280,400,95,1094.7178657800362,34.270197659279575,5.099999999999909,1349.9289921955335
A,Dedicated per-client,4096,private,128,,0,203,162,0.0,26.36051720757283,5.1,2451.3270034186826
A,Dedicated per-client,4096,private,128,,36,200,161,154.3356065545783,26.334216857867403,5.099999999999994,2308.091737200155
A,Dedicated per-client,4096,private,128,,156,406,122,564.7399844983377,44.05706352005552,5.100000000000023,1947.5541798343581
A,Dedicated per-client,4096,private,128,,206,411,122,755.074277038229,43.78842632845226,5.100000000000023,1759.8145277721455
A,Dedicated per-client,4096,private,128,,326,2006,77,1263.2177403802814,132.72305565929628,5.099999999999909,1257.1074171728508
A,Dedicated per-client,4096,private,128,,381,4074,43,1565.4767063613585,262.24764148672216,5.099999999999909,968.9264976969403
A,Dedicated per-client,4096,private,128,,232,404,108,889.6008996208794,36.178074149069175,5.100000000000023,1634.8336775265802
A,Dedicated per-client,4096,private,128,,303,393,88,1174.3794110080148,42.170679360411214,5.099999999999909,1350.0551661394447
A,Dedicated per-client,4096,private,128,,317,421,86,1239.7271817690034,48.33506651829771,5.099999999999909,1288.611637212624
A,Dedicated per-client,4096,private,128,,311,372,63,1216.8767513572611,221.26207032927937,5.099999999999909,1325.8930747171853
A,Dedicated per-client,4096,private,128,,136,1181,125,495.2714743098371,188.01204005545821,5.100000000000023,2055.9018516539745
A,Dedicated per-client,4096,private,128,,270,403,102,1069.000631801003,41.887127847358215,5.099999999999909,1501.168473256849
A,Dedicated per-client,4096,private,128,,92,1313,145,353.1846152974344,92.13958967166536,5.100000000000023,2219.791090160776
A,Dedicated per-client,4096,private,128,,290,429,96,1129.34393601904,35.078491198531765,5.099999999999909,1456.973639414687
A,Dedicated per-client,4096,private,128,,468,4078,24,1955.1418202111067,284.7738544389854,5.099999999999909,623.1258123519542
A,Dedicated per-client,4096,private,128,,247,401,106,972.7863489220429,33.54485585587088,5.100000000000023,1632.2398192992753
A,Dedicated per-client,4096,private,128,,387,387,68,1591.2691362507528,33.225317118307885,5.099999999999909,1005.3409078182692
A,Dedicated per-client,4096,private,128,,388,393,68,1597.2982601780325,37.23681445324837,5.099999999999909,1006.2825998760989
A,Dedicated per-client,4096,private,128,,368,4080,61,1512.0474015090774,229.89083335903115,5.099999999999909,1099.1680104123386
A,Dedicated per-client,4096,private,128,,451,398,46,1901.6723204925734,46.19683455705672,5.099999999999909,710.117867105851
A,Dedicated per-client,4096,private,128,,333,875,88,1293.5576050704044,66.44530205501633,5.099999999999909,1318.8168491045121
A,Dedicated per-client,4096,private,128,,335,942,86,1307.2391490156192,70.11789490825777,5.099999999999909,1313.529270840987
A,Dedicated per-client,4096,private,128,,440,1259,46,1835.7666265674134,103.35257453808481,5.099999999999909,789.1261631285724
A,Dedicated per-client,4096,private,128,,295,404,98,1162.5261296096967,45.98067748155313,5.099999999999909,1462.7782137030306
A,Dedicated per-client,4096,private,128,,75,1350,159,306.03898822519096,84.0984000280215,5.100000000000023,2322.0669697078156
A,Dedicated per-client,4096,private,128,,323,744,89,1254.615504014562,63.97147558595702,5.099999999999909,1376.9704055015493
A,Dedicated per-client,4096,private,128,,72,209,163,286.5966294917295,26.413165617721802,5.100000000000023,2371.4584606819835
A,Dedicated per-client,4096,private,128,,256,395,99,1014.0791484334407,132.59711646053415,5.100000000000023,1648.5771099021015
A,Dedicated per-client,4096,private,128,,427,2431,53,1776.3652843307727,151.6621310642047,5.099999999999909,888.5989662180828
A,Dedicated per-client,4096,private,128,,218,1146,119,810.7232445440653,81.38907303186272,5.100000000000023,1855.5086140011736
A,Dedicated per-client,4096,private,128,,482,4081,30,2001.8291898843615,247.75586585862197,5.099999999999909,665.0487647455113
A,Dedicated per-client,4096,private,128,,442,492,55,1841.5263072201076,50.52455758722181,5.099999999999909,827.0203697658942
A,Dedicated per-client,4096,private,128,,274,181,112,1071.9197884172513,27.96063709766827,5.099999999999909,1604.1622300741064
A,Dedicated per-client,4096,private,128,,30,2584,142,126.5870335549197,160.8932820277172,5.1000000000000085,2551.3608785276415
A,Dedicated per-client,4096,private,128,,372,394,71,1518.8433003796401,33.16166348559159,5.099999999999909,1161.0976303534992
A,Dedicated per-client,4096,private,128,,97,194,147,357.4857950556294,31.464515972561458,5.100000000000023,2326.6072810239116
A,Dedicated per-client,4096,private,128,,143,415,142,524.4990791607596,44.179462013164766,5.100000000000023,2164.1830380300144
A,Dedicated per-client,4096,private,128,,561,242,14,2363.5440256219626,89.31958876467115,5.099999999999909,331.8781080611757
A,Dedicated per-client,4096,private,128,,364,440,84,1485.0337423580722,40.774528995456194,5.099999999999909,1227.4265208364268
A,Dedicated per-client,4096,private,128,,422,248,65,1738.9268640085486,41.041842006527304,5.099999999999909,981.1380396832326
A,Dedicated per-client,4096,private,128,,331,1052,93,1280.420758717501,79.81698282081356,5.099999999999909,1442.2534459252051
A,Dedicated per-client,4096,private,128,,327,396,99,1265.1486983360298,46.434747704025085,5.099999999999909,1470.0828720189
A,Dedicated per-client,4096,private,128,,593,91,16,2496.021724655358,33.75615325221679,5.099999999999909,245.35371457061137
