UseCase,Serving Name,Batching_Strategy,Hardware,Parallelism,Max_Batch_Size,Chunk_Size,Cost,HW_Combination,Vendor,Energy_Used,TTFT_avg,TPOT_avg,rps,TTFT_p50,TTFT_p90,TTFT_p95,TTFT_p99,output_throughput,total_token_throughput,tokens_per_dollar,num_completed,num_ttft_observed
codegen-100.0rps,"mi350x-mi350x|{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi350x-mi350x,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,60.0,"['mi350x_2', 'mi350x_2']",AMD,1.2961902569572725,167.4413742860132,8.584969318676217,6.151477026596657,65.18710159170121,441.16402550411783,470.9050265889737,527.4771806932797,3052.1783562864634,-167663.1814824321,50.86963927144106,200,200
codegen-100.0rps,"mi355x-mi355x|{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi355x-mi355x,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,76.0,"['mi355x_2', 'mi355x_2']",AMD,1.2438017016598595,154.56465374998155,8.595939123056342,6.130024604612831,57.32911944105115,417.004659380826,453.70228627929276,489.62815078477365,3041.534308070748,-167078.4794174222,40.02018826408879,200,200
codegen-100.0rps,"mi350x-mi350x|{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,60.0,"['mi350x_1', 'mi350x_1']",AMD,2.253308849259888,12.408231571493745,7.868035800539991,4.76178694871604,6.8239420597505,21.937467390757185,38.106580793018736,95.97881760479936,2362.6558303444376,-129786.12224533668,39.37759717240729,200,200
codegen-100.0rps,"mi355x-mi355x|{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,76.0,"['mi355x_1', 'mi355x_1']",AMD,2.198591619129252,11.442343433100607,7.786872848605912,4.691250759030171,6.505096929219803,18.86852413461976,31.65098779335834,81.54927961343924,2327.657889108,-127863.60478794418,30.627077488263154,200,200
codegen-100.0rps,"mi350x-mi350x|{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}",128,2048,60.0,"['mi350x_1', 'mi350x_1']",AMD,2.089067319090618,12.166840671201737,8.64876463021906,4.691007965384093,6.766996785260211,17.63364975089803,43.399139303709006,102.2470506375075,2327.537422184625,-127856.98726259713,38.79229036974375,200,200
codegen-100.0rps,"mi355x-mi355x|{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}",128,2048,76.0,"['mi355x_1', 'mi355x_1']",AMD,2.0137655470444273,11.176292602371134,8.637757497562987,4.607868444430304,6.492195630972901,16.164295720554183,30.08398799586599,80.07500155094947,2286.286086072984,-125590.9564329657,30.08271165885505,200,200
codegen-100.0rps,"etched-gb300|{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,etched-gb300,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,96.0,"['etched_1', 'gb300_1']",Mixed,2.8100296520308223,8.413984285584284,6.431620828783633,4.910069243239402,7.2076276409056845,11.504951661115273,12.40895828144235,32.06651027095506,2436.2290564180944,-133827.66887711477,25.37738600435515,200,200
codegen-100.0rps,"etched-etched|{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,etched-etched,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,96.0,"['etched_2', 'etched_1']",Etched,1.6825102895071655,712.698665970051,6.52953391825946,6.526093698872946,835.8306259413322,1353.37982506636,1471.7238347395473,1538.8413955997028,3238.0519105697895,-177873.6435939933,33.72970740176864,200,200
codegen-100.0rps,"mi355x-mi355x|{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi355x-mi355x,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,76.0,"['mi355x_2', 'mi355x_1']",AMD,1.5547430012052967,1263.3965037009764,7.051455408405231,6.013920647029445,1519.132799527531,2327.3149335241997,2414.747965624492,2488.353050222924,2983.9270074365995,-163913.97781447927,39.26219746627105,200,200
codegen-100.0rps,"b200_sxm-b200_sxm|{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 4}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,68.8,"['b200_sxm_2', 'b200_sxm_1']",Nvidia,1.5697574068956115,191.4457028870941,6.0326795179361525,6.475931565744138,93.07643548237036,474.9553422784558,509.0423146523783,585.2330710902844,3213.162964975269,-176506.43653234644,46.702950072314955,200,200
