request_idx,input_len,output_len,mist_ttft_sec,mist_e2e_sec,sim_wall_clock_sec,num_requests_submitted,num_requests_completed,platform,model,device,tensor_parallel_size
58,140.0,434.0,0.02107242836664227,7.683897990516658,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
59,140.0,451.0,0.03530095236664238,7.969575980516632,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
60,230.0,17.0,0.021839067366641755,0.3744334980333115,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
61,310.0,573.0,0.04032447336664518,9.806459251016655,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
62,521.0,104.0,0.05851050403331283,1.8381004624332908,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
63,768.0,7.0,0.08250580003331379,0.19926242103331424,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
64,317.0,8.0,0.06390939803331276,0.18864662103331284,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
65,298.0,11.0,0.030203621033315357,0.1963353910333135,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
66,336.0,22.0,0.026016595033310295,0.3916614244333014,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
67,491.0,13.0,0.03958718443331054,0.23951753443330562,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
68,59.0,392.0,0.025343471433301602,6.852674550516638,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
69,54.0,256.0,0.023152080433301307,4.55510891351662,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
70,107.0,31.0,0.02645351943328933,0.516445523099952,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
71,53.0,39.0,0.03149050843329133,0.6495660930999566,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
72,72.0,300.0,0.02770112909995987,5.350064540516649,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
73,768.0,9.0,0.056744369099957115,0.1863787690999525,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
74,933.0,458.0,0.0767577550999522,7.620757621016581,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
75,239.0,147.0,0.0687624950999525,2.7564831155166156,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
76,277.0,240.0,0.027287453099952473,4.284343050516658,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
77,462.0,45.0,0.03247008809995168,0.8864818301832765,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
78,386.0,141.0,0.03884639659995446,2.5941544955166154,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
79,661.0,4.0,0.06463643059995229,0.14553270393328602,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
80,631.0,27.0,0.052416733933288925,0.4974683419332832,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
81,349.0,721.0,0.03776651293328905,11.110639761016676,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
82,53.0,63.0,0.04272251593328838,1.1568802431832683,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
83,71.0,24.0,0.023735841933281335,0.48037586918327907,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
84,496.0,184.0,0.04857247618328256,3.2489997505166612,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
85,353.0,22.0,0.029881470183283455,0.4261709931832793,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
86,595.0,40.0,0.06161392318327853,0.726309183183268,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
87,286.0,15.0,0.06698139918328161,0.30816814318328034,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
88,305.0,18.0,0.03689432318328181,0.31951399318327456,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
89,56.0,574.0,0.023317618183271407,8.776783441016661,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
90,52.0,214.0,0.031412861183267526,3.6432377030166574,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
91,310.0,15.0,0.03605933218327482,0.27530160218328453,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
92,238.0,77.0,0.030410422183274933,1.3781274905166137,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
93,143.0,170.0,0.03205640851661883,2.899949083016647,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
94,660.0,510.0,0.062103717516620235,7.770710671016656,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
95,191.0,53.0,0.0429229735166191,0.9509355605166092,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
96,72.0,16.0,0.04231976551661501,0.29236804551661044,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
97,258.0,57.0,0.03825727551661475,1.0025121005166293,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
98,312.0,9.0,0.051548000516613686,0.18421344051662528,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
99,561.0,19.0,0.05060670051661145,0.34925894051661455,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
